K40;K40;K40;K40;K40;K40;K40;K40;K40;G83;K40;K40;K40;K40;K40;K40;K40;K40;K40;K40
K40;K40;E10;L10;G50;G50;G40;G40;G60;E22;K40;K40;K40;K40;K40;K40;K40;K40;K40;K40
K40;K40;G11;E20;G60;E11;K40;K40;K40;K40;K40;K40;G71;K40;E20;G20;G20;E21;K40;K40
K40;K40;G11;G61;K40;G31;K40;K40;G71;K40;K40;K40;G51;K40;G63;K40;K40;G63;K40;K40
K40;K40;G51;G63;K40;G41;K40;K40;G53;K40;E10;G50;E12;K40;G21;K40;K40;G31;K40;K40
K40;K40;G41;G73;K40;G31;K40;K40;G51;K40;G41;K40;K40;K40;G61;K40;K40;G41;K40;K40
K40;K40;G31;K40;K40;G41;K40;K40;K30;G30;K20;G20;G60;G62;E22;K40;K40;G73;K40;K40
K40;K40;E23;G20;G62;L83;G40;E11;G31;K40;G31;K40;K40;K40;K40;K40;K40;K40;K40;K40
K40;K40;K40;K40;K40;K40;K40;G11;L80;G30;K10;G72;E10;G40;G40;G72 ;K40;K40;K40;K40
K40;K40;K40;K40;K40;K40;K40;G11;G71;K40;G11;K40;G11;K40;K40;K40;K40;K40;K40;K40
K40;K40;K40;L60;G20;G10;G10;K32;G31;K40;L13;K40;E13;G40;K31;G30;G62;E21;K40;K40
K40;K40;K40;G61;K40;K40;K40;E11;G31;K40;K30;G10;E11;K40;G11;K40;K40;G21;K40;K40
K40;K40;K40;G31;K40;K40;K40;E13;E12;K40;G11;K40;G73;K40;G11;K40;K40;G61;K40;K40
K40;K40;K40;G31;K40;K40;K40;K40;K40;K40;G53;K40;K40;K40;E13;G72;K40;G63;K40;K40
K40;K40;K40;G61;K40;K40;K40;K40;K40;K40;G51;K40;K40;K40;K40;K40;K40;G21;K40;K40
K40;K40;K40;L80;G20;G20;G62;G40;G40;G50;K10;G50;G40;G40;G62;G20;G20;E22;K40;K40
K40;K40;K40;G63;K40;K40;K40;K40;K40;K40;G11;K40;K40;K40;K40;K40;K40;K40;K40;K40
K40;K40;K40;E23;G30;G62;G72;K40;K40;K40;G11;K40;K40;K40;K40;K40;K40;K40;K40;K40
K40;K40;K40;K40;K40;K40;K40;K40;K40;K40;G93;K40;K40;K40;K40;K40;K40;K40;K40;K40
K40;K40;K40;K40;K40;K40;K40;K40;K40;K40;K40;K40;K40;K40;K40;K40;K40;K40;K40;K40
