K40;K40;K40;K40;K40;K40;K40;K40;K40;K40;K40;K40;K40;K40;K40;K40;K40;K40;K40;K40;K40
K40;K40;K40;K40;K40;K40;K40;K40;G83;K40;K40;K40;K40;K40;K40;K40;K40;K40;K40;K40;K40
K40;E10;L12;G50;G50;G40;G40;G60;E22;K40;K40;K40;K40;K40;K40;K40;K40;K40;K40;K40;K40
K40;G11;E20;G60;L62;K40;K40;K40;K40;K40;K40;G70;K40;L60;G21;G21;E21;K40;K40;K40;K40
K40;G11;G73;K40;G31;K40;K40;L30;K40;K40;K40;G50;K40;G62;K40;K40;G62;K40;K40;K40;K40
K40;G51;G73;K40;G41;K40;K40;G52;K40;L50;G53;E12;K40;G20;K40;K40;G30;K40;K40;K40;K40
K40;G41;L31;K40;G31;K40;K40;G50;K40;G40;K40;K40;K40;G60;K40;K40;G40;K40;K40;K40;K40
K40;G31;K40;K40;G41;K40;K40;K33;G31;K20;G21;G61;G63;L22;K40;K40;L32;K40;K40;K40;K40
K40;E23;G20;G60;L83;G40;E11;G30;K40;G30;K40;K40;K40;K40;K40;K40;K40;K40;K40;K40;K40
K40;K40;K40;K40;K40;K40;G11;L83;G31;K10;G71;E10;G41;G41;L31;K40;K40;K40;K40;K40;K40
K40;K40;K40;K40;K40;K40;G11;G70;K40;G11;K40;G10;K40;K40;K40;K40;K40;K40;K40;K40;K40
K40;K40;L60;G20;G10;G10;K41;G30;K40;L13;K40;E13;G41;K40;G31;G63;L61;K40;K40;K40;K40
K40;K40;G60;K40;K40;K40;L11;G30;K40;K30;G11;L51;K40;G10;K40;K40;G20;K40;K40;K40;K40
K40;K40;G31;K40;K40;K40;E13;E12;K40;G11;K40;G72;K40;G10;K40;K40;G60;K40;K40;K40;K40
K40;K40;G31;K40;K40;K40;K40;K40;K40;G53;K40;K40;K40;E13;G71;K40;G62;K40;K40;K40;K40
K40;K40;G61;K40;K40;K40;K40;K40;K40;G51;K40;K40;K40;K40;K40;K40;G20;K40;K40;K40;K40
K40;K40;L81;G20;G20;G60;G40;G40;G50;K10;G50;G40;G40;G60;G20;G20;L81;K40;K40;K40;K40
K40;K40;G61;K40;K40;K40;K40;K40;K40;G11;K40;K40;K40;K40;K40;K40;K40;K40;K40;K40;K40
K40;K40;E23;G30;G60;L31;K40;K40;K40;G11;K40;K40;K40;K40;K40;K40;K40;K40;K40;K40;K40
K40;K40;K40;K40;K40;K40;K40;K40;K40;G93;K40;K40;K40;K40;K40;K40;K40;K40;K40;K40;K40
K40;K40;K40;K40;K40;K40;K40;K40;K40;K40;K40;K40;K40;K40;K40;K40;K40;K40;K40;K40;K40
